Id,SalePrice,OverallQual,ExterQual,GarageCars,YearBuilt,YearRemodAdd,KitchenQual,Foundation,HalfBath,GrLivArea,BsmtQual,LotArea,FullBath,TotRmsAbvGrd
1,208500,7,Gd,2,2003,2003,Gd,PConc,1,1710,Gd,8450,2,8
2,181500,6,TA,2,1976,1976,TA,CBlock,0,1262,Gd,9600,2,6
3,223500,7,Gd,2,2001,2002,Gd,PConc,1,1786,Gd,11250,2,6
4,140000,7,TA,3,1915,1970,Gd,BrkTil,0,1717,TA,9550,1,7
5,250000,8,Gd,3,2000,2000,Gd,PConc,1,2198,Gd,14260,2,9
6,143000,5,TA,2,1993,1995,TA,Wood,1,1362,Gd,14115,1,5
7,307000,8,Gd,2,2004,2005,Gd,PConc,0,1694,Ex,10084,2,7
8,200000,7,TA,2,1973,1973,TA,CBlock,1,2090,Gd,10382,2,7
9,129900,7,TA,2,1931,1950,TA,BrkTil,0,1774,TA,6120,2,8
10,118000,5,TA,1,1939,1950,TA,BrkTil,0,1077,TA,7420,1,5
11,129500,5,TA,1,1965,1965,TA,CBlock,0,1040,TA,11200,1,5
12,345000,9,Ex,3,2005,2006,Ex,PConc,0,2324,Ex,11924,3,11
13,144000,5,TA,1,1962,1962,TA,CBlock,0,912,TA,12968,1,4
14,279500,7,Gd,3,2006,2007,Gd,PConc,0,1494,Gd,10652,2,7
15,157000,6,TA,1,1960,1960,TA,CBlock,1,1253,TA,10920,1,5
16,132000,7,TA,2,1929,2001,TA,BrkTil,0,854,TA,6120,1,5
17,149000,6,TA,2,1970,1970,TA,CBlock,0,1004,TA,11241,1,5
19,159000,5,TA,2,2004,2004,Gd,PConc,1,1114,TA,13695,1,6
20,139000,5,TA,1,1958,1965,TA,CBlock,0,1339,TA,7560,1,6
21,325300,8,Gd,3,2005,2006,Gd,PConc,1,2376,Ex,14215,3,9
22,139400,7,TA,1,1930,1950,Gd,PConc,0,1108,TA,7449,1,6
23,230000,8,Gd,2,2002,2002,Gd,PConc,0,1795,Gd,9742,2,7
24,129900,5,TA,2,1976,1976,TA,PConc,0,1060,Gd,4224,1,6
25,154000,5,TA,1,1968,2001,Gd,CBlock,0,1060,TA,8246,1,6
26,256300,8,Gd,3,2007,2007,Gd,PConc,0,1600,Gd,14230,2,7
27,134800,5,TA,2,1951,2000,Gd,CBlock,0,900,TA,7200,1,5
28,306000,8,Gd,3,2007,2008,Gd,PConc,0,1704,Ex,11478,2,7
29,207500,5,TA,1,1957,1997,TA,CBlock,0,1600,TA,16321,1,6
30,68500,4,TA,1,1927,1950,Fa,BrkTil,0,520,TA,6324,1,4
31,40000,4,TA,1,1920,1950,TA,BrkTil,0,1317,TA,8500,1,6
32,149350,5,TA,1,1966,2006,Gd,CBlock,1,1228,TA,8544,1,6
33,179900,8,Gd,2,2007,2007,Gd,PConc,0,1234,Ex,11049,2,7
34,165500,5,TA,2,1959,1959,Gd,CBlock,1,1700,TA,10552,1,6
35,277500,9,Ex,2,2005,2005,Ex,PConc,0,1561,Ex,7313,2,6
36,309000,8,Gd,3,2004,2005,Gd,PConc,1,2452,Ex,13418,3,9
37,145000,5,TA,2,1994,1995,TA,PConc,1,1097,Gd,10859,1,6
38,153000,5,TA,2,1954,1990,TA,CBlock,0,1297,TA,8532,1,5
